loss,Accuracy,F1-Score
1.435703107,0.3957589,0.380165372
1.518371265,0.387215772,0.377886127
1.309075502,0.482978551,0.465280395
1.359370142,0.439834442,0.431272685
1.269173533,0.528161541,0.515346652
1.324809772,0.481389114,0.477052668
1.313650229,0.469534901,0.45237294
1.343260253,0.454212082,0.445645591
1.48205257,0.376292991,0.370664716
1.367046974,0.462866808,0.445063773
1.359901874,0.415293007,0.412059013
1.414326141,0.462854412,0.444294181
1.270016952,0.530951608,0.525121518
1.386579791,0.444520234,0.428087107
1.339756536,0.461694053,0.438724085
1.403202721,0.386646945,0.377553009
1.27253433,0.49066555,0.476755596
1.248669403,0.46818615,0.445777642
1.303853797,0.545285667,0.538459488
1.31122126,0.472324878,0.457524603
1.235541232,0.517130989,0.514651368
1.310658706,0.498124394,0.491983778
